"Hospital, Address, Telephone, Administrator, Approval and Facility Codes",control,service,stay,beds,admissions,census,bassinets,births,census_2,total,payroll,personnel,city,county
"*George H Lanier Memorial Hospital-4800 48th St-Zip 36864-Tel 756-3111-Harold W Steadham, Adm A1 29 F1 23468912141516181927",23,10,S,110,4862,74,24,453,5,866,530,209,LANGDALE,CHAMBERS
"*Leeds Hospital-Hwy 78 W-Zip 35094-Mailing Address Box 456-Tel 726-2001-Edward L Goodson, Adm A9 F2 9111214151618",33,10,S,48,2028,40,8,131,1,398,233,87,LEEDS,JEFFERSON
"D E Jackson's Hospital-Zip 35647-Tel 232-1218-Betty K Harrison, Adm A 9 F 2 91112 141518222933",31,10,S,16,506,9,5,19,-,67,52,14,LESTER,LIMESTONE
*Crenshaw County Hospital-Brantley Hwy Drawer 432-Zip 36049-Tel 335-4800-M D Plowden Adm A9 F2 5121415161823242933,13,10,S,33,1154,19,11,56,-,195,93,44,LUVERNE,CRENSHAW
"*Perry County Hospital-Lafayette St-Tel 683-2741-George B Warren, Adm A9 F3 41112 14151833",13,10,S,46,1096,30,12,88,-,344,149,79,MARION,PERRY
"*Doctors Hospital Of Mobile-1700 Center St-Zip 36604-Tel 438-4551-Thomas Thorpe, Adm A1 9 F1 23456810121416182134",33,10,S,130,5174,102,-,-,-,1772,686,240,MOBILE,MOBILE
"*Mobile General Hospital-850 St Anthony St-Zip 36603-Tel 438-1631-Winston C Whitfield, Adm A1 34569 F1 23569101112141516171819222427282934",13,10,S,247,10162,212,40,2465,31,3422,1792,510,MOBILE,MOBILE
"*Mobile Infirmary-Box 4097-Tel 433-3511-E C Bramlett, Adm A1 69 F1 234678910 121415161819212223242627",23,10,S,492,22387,448,70,2608,36,7067,4130,1099,MOBILE,MOBILE
"*Providence Hospital-1504 Springhill Ave Box 4067-Zip 36604-Tel 433-0541-Sister Andrea, Adm A1 69 F1 2346891012141516181920212223252627",21,10,S,260,11498,238,52,1419,20,-,-,581,MOBILE,MOBILE
"*St Martin De Porres Hospital-704 Virginia St Box 14-Zip 36606-Tel 438-1661-Sister Maria RN, Adm A1 9 F1 23459141516181920212326272933",21,10,S,35,2000,38,10,617,-,552,293,97,MOBILE,MOBILE
"US Air Force Hospital-Brookley AFB-Zip 36615-Tel 438-6011 Ext 5601-Lt Col Anthony Poglisi MC, Dir A1 F2 56911121415182933",41,10,S,35,1531,21,13,323,3,-,-,60,MOBILE,MOBILE
"*Monroe County Hospital-Box 148-Zip 36460-Tel 743-3111-Harold R Pittman, Adm A 9 F1 2389121415182233",13,10,S,35,2129,29,10,309,-,345,176,52,MONROEVILLE,MONROE
"Children's Medical Center-1230 Forest Ave-Tel 262-2908-Ralph A Hiebel, Adm A9 - Non Reporting",23,59,S,-,-,-,-,-,-,-,-,-,MONTGOMERY,MONTGOMERY
"*Jackson Hospital And Clinic-1235 Forest Ave-Zip 36106-Tel 264-5311-Douglas Goode, Adm A1 9 F1 236891112141516181921232426272933",23,10,S,305,6913,143,20,452,6,-,-,356,MONTGOMERY,MONTGOMERY
"Kilby Prison Hospital-Rte 3 Box 115-Tel 265-2341-Sam S Howell, Sr Med Asst A1 6 9 - Non Reporting",12,11,S,-,-,-,-,-,-,-,-,-,MONTGOMERY,MONTGOMERY
"*Montgomery Baptist Hospital-2105 E South Blvd Box 6250-Zip 36106-Tel 288-2100-W Taylor Morrow, Adm A1 9 F1 2356910111214151618192022233334",21,10,S,200,5037,103,15,384,5,1705,924,288,MONTGOMERY,MONTGOMERY
"Montgomery Tuberculosis Sanatorium-2140 Upper Wetumpka Rd-Zip 36107-Tel 262-0363-Charles C Watson, Adm F 2 51114161718 20 23 29",13,33,L,144,217,140,-,-,-,362,199,80,MONTGOMERY,MONTGOMERY
"*Professional Center Hospital-219 Church St-Zip 36104-Tel 263-7541-J A Bohannon, Adm Al 9 F2 35691214151618",33,10,S,66,2409,54,15,269,4,-,-,125,MONTGOMERY,MONTGOMERY
"*St Jude's Catholic Hospital-Includes Father Harold Purcell Memorial For Crippled Children-1918 Fairview Ave-Zip 36108-Tel 265-7011-Sister M Evangelista RN, Adm A1 79 F1 23681415181920232527",21,10,S,165,3502,90,20,1126,6,832,437,205,MONTGOMERY,MONTGOMERY
"*St Margaret's Hospital-Drawer 311-Zip 36101-Tel 265-0211-Sister Scholastica RN, Adm Al 269 F1 23569121415161819202122232627",21,10,S,235,8942,204,30,640,8,-,-,496,MONTGOMERY,MONTGOMERY
"*US Air Force Hospital-Maxwell AFB-Zip 36112-Tel 265-5621 Ext 7801-Col E H Underwood Jr, MC, CO Al 29 F1 234567891011121415161718192021222527",41,10,S,225,5813,184,17,655,9,-,-,640,MONTGOMERY,MONTGOMERY
"*Veterans Administration Hospital-Perry Hill Rd-Zip 36109-Tel 272-4670-Walter R Armstrong Jr, Dir A1 F1 2 3 5 6 7 8 12 14 16 17 18 20 22 23 25 29 33",45,10,S,285,3792,240,-,-,-,2700,2274,320,MONTGOMERY,MONTGOMERY
"Searcy Hospital-Box 23-Zip 36560-Tel 829-2841-Harry S Rowe MD, Asst Supt F2 5712 14151617182324",12,22,L,2525,682,2480,3,4,-,-,-,477,MOUNT VERNON,MOBILE
"*Blount Memorial Hospital-1000 Lincoln Ave-Zip 35121-Tel 274-3511-Mrs Earle M Purdy RN, Adm A9 F2 61214151833",13,10,S,65,2815,57,10,437,3,621,299,128,ONEONTA,BLOUNT
"Doctors Hospital-407 5th Ave-Zip 35121-Tel 274-3581-Ira B Patton MD, Adm A9 - Non Reporting",33,10,S,-,-,-,-,-,-,-,-,-,ONEONTA,BLOUNT
"*Leo County Hospital-2000 Pepperell Pkwy-Zip 36801-Tel 745-4611-Wilton E Stewart, Adm Al 9 F2 691214151618222333",13,10,S,116,4760,69,19,782,8,884,477,178,OPELIKA,LEE
"*Mizell Memorial Hospital-1001 Main St-Zip 36467-Tel 493-3541-Don Nelson, Adm A1 9 F2 121415182333",23,10,S,76,3386,47,9,295,2,534,267,82,OPP,COVINGTON
"Dale County Hospital-510 James St-Zip 36360-Tel 774-5122-Ernest M Beverly, Adm A9 F1 291214151618",13,10,S,50,2240,39,10,263,2,413,211,87,OZARK,DALE
"*Martin Hospital And Clinic-12 N 19th St-Zip 35125-Tel 338-8172-R H Ward, Adm A9 F4 9121415182933",33,10,S,42,1680,33,8,211,1,318,163,53,PELL CITY,ST CLAIR
"*Homer D Cobb Memorial Hospital-1707 21st Ave Box 190-Zip 36867-Tel 298-7811-Clifford E Hamer, Adm A1 9 F1 23691214151618192327",14,10,S,128,6718,118,17,402,3,1484,790,280,PHENIX CITY,RUSSELL
"*Piedmont Hospital-Calhoun St Box 330-Zip 36272-Tel 447-6041-James L Wilson, Adm A9 F1 291214151829",14,10,S,65,1569,26,8,149,1,-,-,68,PIEDMONT,CALHOUN
"Prattville General Hospital-North Main St-Tel 365-6706-Charles R Worthen, Adm A9 A9 F2 4612141518",33,10,S,55,2122,38,8,103,-,-,-,90,PRATTVILLE,AUTAUGA
